Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
skanumelis,,,,,,,,,250g,,,,,96-1,1000.0,,0,deny,manual,4.38,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
skanumelis,,,,,,,,,350g,,,,,96-2,1000.0,,0,deny,manual,6.13,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
skanumelis,,,,,,,,,1kg,,,,,96-3,1000.0,,0,deny,manual,17.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
sambar-masala,Sambar Masala,"Sudėtis: čili, kalendra, juodieji pipirai, kuminai, cinamonas, garstyčių sėklos, imbierai, gvazdikėliai, ciberžolė, druska.",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,95,1000.0,,0,deny,manual,1.25,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Sambarmasala.jpg?v=1634636706,1,,false,,,,,,,,,,,,,,,,,kg,,,active
sambar-masala,,,,,,,,,250g,,,,,95-1,1000.0,,0,deny,manual,3.13,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
sambar-masala,,,,,,,,,350g,,,,,95-2,1000.0,,0,deny,manual,4.38,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
sambar-masala,,,,,,,,,1kg,,,,,95-3,1000.0,,0,deny,manual,12.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
salieru-saknys,Salierų šaknys,"<p>Naudojamos pagal skonį.</p>
<p> </p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,94,1000.0,,0,deny,manual,1.15,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Salierusaknys.jpg?v=1634636632,1,,false,,,,,,,,,,,,,,,,,kg,,,active
salieru-saknys,,,,,,,,,250g,,,,,94-1,1000.0,,0,deny,manual,2.88,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
salieru-saknys,,,,,,,,,350g,,,,,94-2,1000.0,,0,deny,manual,4.03,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
salieru-saknys,,,,,,,,,1kg,,,,,94-3,1000.0,,0,deny,manual,11.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
ryziams,Ryžiams,"<p>Naudojamas ryžių, makaronų, bulvių gardinimui.</p>
<p>Sudėtis: valgomoji druska, svogūnai, česnakai, ciberžolė,  saldi raudona paprika, morkos, baltieji pipirai, krapai, aitrioji čili paprikėlė,  kviečių skaidulos.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,93,1000.0,,0,deny,manual,0.95,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Ryziams.jpg?v=1634636570,1,,false,,,,,,,,,,,,,,,,,kg,,,active
ryziams,,,,,,,,,250g,,,,,93-1,1000.0,,0,deny,manual,2.38,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
ryziams,,,,,,,,,350g,,,,,93-2,1000.0,,0,deny,manual,3.33,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
ryziams,,,,,,,,,1kg,,,,,93-3,1000.0,,0,deny,manual,9.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiski-zuvu-prieskoniai,Rytietiški žuvų prieskoniai,"<p>Prieskoniai suteikia puikų skonį virtiems, keptiems, troškintiems žuvies patiekalams, taip pat tinka bulvėms ir kiaušinienei gardinti.</p>
<p>Sudėtis: druska, česnakai, krapai, garstyčios, cukrus, svogūnai, petražolės, kario prieskoniai,, raudonos saldžios paprikos, citrinų rūgštis, baltieji pipirai.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,92,1000.0,,0,deny,manual,1.05,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Rytietiskizuvuprieskoniai.jpg?v=1634636125,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rytietiski-zuvu-prieskoniai,,,,,,,,,250g,,,,,92-1,1000.0,,0,deny,manual,2.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiski-zuvu-prieskoniai,,,,,,,,,350g,,,,,92-2,1000.0,,0,deny,manual,3.68,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiski-zuvu-prieskoniai,,,,,,,,,1kg,,,,,92-3,1000.0,,0,deny,manual,10.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
